缺陷No.,单元ID,单元名称,类别No.,类别名称,图像文件名,重心Y,重心X,面积,体积,最大浓淡等级,平均浓淡等级,明暗,主轴长,副轴长,主轴角,针状度,周长,圆形度,等价椭圆主轴长,等价椭圆副轴长,等价椭圆主轴·副轴比,feret直径X,feret直径Y
70,2,"瑕疵",0,"未分类(类别01-19以外)","0000000070_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
71,2,"瑕疵",0,"未分类(类别01-19以外)","0000000071_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
72,2,"瑕疵",0,"未分类(类别01-19以外)","0000000072_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
73,2,"瑕疵",0,"未分类(类别01-19以外)","0000000073_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
74,2,"瑕疵",0,"未分类(类别01-19以外)","0000000074_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
75,2,"瑕疵",0,"未分类(类别01-19以外)","0000000075_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
76,2,"瑕疵",0,"未分类(类别01-19以外)","0000000076_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
77,2,"瑕疵",0,"未分类(类别01-19以外)","0000000077_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
78,2,"瑕疵",0,"未分类(类别01-19以外)","0000000078_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
79,2,"瑕疵",0,"未分类(类别01-19以外)","0000000079_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
80,2,"瑕疵",0,"未分类(类别01-19以外)","0000000080_00_000292_000775.bmp",+292.500,+775.500,64,,,,,,,,,,,,,,,
81,2,"瑕疵",0,"未分类(类别01-19以外)","0000000081_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
82,2,"瑕疵",0,"未分类(类别01-19以外)","0000000082_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
83,2,"瑕疵",0,"未分类(类别01-19以外)","0000000083_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
84,2,"瑕疵",0,"未分类(类别01-19以外)","0000000084_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
85,2,"瑕疵",0,"未分类(类别01-19以外)","0000000085_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
86,2,"瑕疵",0,"未分类(类别01-19以外)","0000000086_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
87,2,"瑕疵",0,"未分类(类别01-19以外)","0000000087_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
88,2,"瑕疵",0,"未分类(类别01-19以外)","0000000088_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
89,2,"瑕疵",0,"未分类(类别01-19以外)","0000000089_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
90,2,"瑕疵",0,"未分类(类别01-19以外)","0000000090_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
91,2,"瑕疵",0,"未分类(类别01-19以外)","0000000091_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
92,2,"瑕疵",0,"未分类(类别01-19以外)","0000000092_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
93,2,"瑕疵",0,"未分类(类别01-19以外)","0000000093_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
94,2,"瑕疵",0,"未分类(类别01-19以外)","0000000094_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
95,2,"瑕疵",0,"未分类(类别01-19以外)","0000000095_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
96,2,"瑕疵",0,"未分类(类别01-19以外)","0000000096_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
97,2,"瑕疵",0,"未分类(类别01-19以外)","0000000097_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
98,2,"瑕疵",0,"未分类(类别01-19以外)","0000000098_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
99,2,"瑕疵",0,"未分类(类别01-19以外)","0000000099_00_000196_000795.bmp",+196.500,+795.500,64,,,,,,,,,,,,,,,
100,2,"瑕疵",0,"未分类(类别01-19以外)","0000000100_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
101,2,"瑕疵",0,"未分类(类别01-19以外)","0000000101_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
102,2,"瑕疵",0,"未分类(类别01-19以外)","0000000102_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
103,2,"瑕疵",0,"未分类(类别01-19以外)","0000000103_00_000461_001009.bmp",+461.681,+1009.323,24160,,,,,,,,,,,,,,,
104,2,"瑕疵",0,"未分类(类别01-19以外)","0000000104_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
105,2,"瑕疵",0,"未分类(类别01-19以外)","0000000105_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
106,2,"瑕疵",0,"未分类(类别01-19以外)","0000000106_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
107,2,"瑕疵",0,"未分类(类别01-19以外)","0000000107_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
